"length_url","length_hostname","ip","nb_dots","nb_hyphens","nb_at","nb_qm","nb_and","nb_or","nb_eq","nb_underscore","nb_tilde","nb_percent","nb_slash","nb_star","nb_colon","nb_comma","nb_semicolumn","nb_dollar","nb_space","nb_www","nb_com","nb_dslash","http_in_path","https_token","ratio_digits_url","ratio_digits_host","punycode","port","tld_in_path","tld_in_subdomain","abnormal_subdomain","nb_subdomains","prefix_suffix","random_domain","shortening_service","path_extension","nb_redirection","nb_external_redirection","length_words_raw","char_repeat","shortest_words_raw","shortest_word_host","shortest_word_path","longest_words_raw","longest_word_host","longest_word_path","avg_words_raw","avg_word_host","avg_word_path","phish_hints","domain_in_brand","brand_in_subdomain","brand_in_path","suspecious_tld","statistical_report","nb_hyperlinks","ratio_intHyperlinks","ratio_extHyperlinks","ratio_nullHyperlinks","nb_extCSS","ratio_intRedirection","ratio_extRedirection","ratio_intErrors","ratio_extErrors","login_form","external_favicon","links_in_tags","submit_email","ratio_intMedia","ratio_extMedia","sfh","iframe","popup_window","safe_anchor","onmouseover","right_clic","empty_title","domain_in_title","domain_with_copyright","whois_registered_domain","domain_registration_length","domain_age","web_traffic","dns_record","google_index","page_rank","status"
"38","20","0","3","0","0","0","0","0","0","0","0","0","3","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","3","0","0","0","0","0","0","4","3","3","3","4","12","12","5","6","7.5","4.5","0","0","0","0","0","0","64","0.984375","0.015625","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","93.75","0","0","0","1","0","0","250","-1","6084468","0","0","3","safe"
"34","26","0","3","0","0","0","0","0","0","0","0","0","3","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","3","0","0","0","0","1","0","2","3","3","3","0","15","15","0","9","9","0","0","0","0","0","0","0","92","0.739130435","0.260869565","0","0","0","0.666666667","0","0","0","1","94.11764706","0","100","0","0","0","0","16","0","0","0","1","1","0","193","-1","45566","0","0","4","safe"
"67","21","0","3","0","0","0","0","0","0","0","0","0","5","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","3","0","0","0","0","0","0","6","3","3","3","3","14","13","14","8.5","8","8.75","1","0","0","0","0","0","2","0.5","0.5","0","0","0","1","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","1","0","0","336","3317","0","0","1","2","unsafe"
"19","12","0","2","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","5","5","0","5","5","0","5","5","0","0","0","0","0","0","0","134","0.932835821","0.067164179","0","0","0","0","0","0","0","0","100","0","100","0","0","0","0","70.96774194","0","0","0","1","1","0","237","-1","584195","0","0","2","safe"
"66","44","1","2","0","0","0","0","0","0","0","0","0","4","0","1","0","0","0","0","0","0","0","0","1","0.136363636","0.204545455","0","0","0","0","0","2","0","0","0","0","1","0","3","2","13","18","13","21","21","13","17.33333333","19.5","13","0","0","0","0","0","0","4","1","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","100","0","0","0","1","0","0","358","1834","0","0","1","0","unsafe"
"75","15","0","3","1","0","0","0","0","0","0","0","0","9","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","3","1","0","0","0","0","0","11","3","2","3","2","12","7","12","4.818181818","5","4.777777778","3","0","0","0","0","0","5","1","0","0","0","0","0","0","0","0","0","100","0","100","0","0","0","0","0","0","0","0","1","1","0","465","570","0","0","1","0","unsafe"
"117","78","0","5","0","0","1","0","0","0","0","0","0","3","0","1","0","0","0","0","0","0","0","0","1","0.188034188","0.128205128","0","0","0","0","0","3","0","0","0","0","0","0","6","2","2","2","30","33","33","30","16.66666667","14","30","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","158","208","0","0","1","0","unsafe"
"22","15","0","1","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","9","9","0","9","9","0","9","9","0","0","0","0","0","0","0","7","0.857142857","0.142857143","0","0","0","1","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","1","0","0","232","-1","0","0","1","0","unsafe"
"91","19","0","2","1","0","0","0","0","0","1","0","1","8","0","1","0","0","0","1","0","0","0","0","0","0.021978022","0","0","0","1","0","0","2","1","0","0","0","1","0","10","31","2","7","2","16","8","16","7","7.5","6.875","3","0","0","0","0","0","4","1","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","100","0","0","0","1","0","0","2285","-1","989825","0","1","1","unsafe"
"63","16","0","3","4","0","0","0","0","0","0","0","0","5","0","1","0","0","0","0","1","0","0","0","1","0.095238095","0","0","0","0","0","0","3","0","0","0","0","1","0","10","6","2","3","2","8","8","6","4.3","5.5","4","0","0","0","0","0","0","234","0.273504274","0.726495726","0","3","0","0.311764706","0","0.052941176","0","1","0","0","44.70588235","55.29411765","0","0","0","21.21212121","0","0","0","1","0","0","96","-1","542185","0","0","4","safe"
"128","50","1","4","1","0","1","2","0","3","2","0","0","5","0","1","0","0","0","0","0","1","0","0","0","0.1796875","0","0","0","0","1","0","3","1","0","0","0","0","0","13","2","2","3","2","17","13","17","7.769230769","8.4","7.375","0","0","0","0","0","0","51","1","0","0","0","0","0","0","0","0","0","100","0","100","0","0","0","0","100","0","0","0","1","1","0","25","3993","5707171","0","1","0","unsafe"
"52","39","0","2","0","0","0","0","0","0","0","0","0","3","0","1","0","0","0","0","0","0","0","0","1","0.019230769","0.025641026","0","0","0","0","0","2","0","0","0","0","0","0","3","0","5","16","5","18","18","5","13","17","5","1","0","0","0","0","0","17","1","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","100","0","0","0","1","0","0","398","-1","0","0","1","1","unsafe"
"15","8","0","1","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","4","4","0","4","4","0","4","4","0","0","0","0","0","0","0","25","0.6","0.4","0","1","0","0.4","0","0","0","1","55.55555556","0","50","50","0","0","0","50","0","0","0","0","1","0","281","1180","718185","0","0","0","safe"
"41","16","0","2","0","0","0","0","0","0","0","0","0","4","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","4","3","3","3","7","8","8","8","6.5","5.5","7.5","1","0","0","0","0","0","37","0.648648649","0.351351351","0","0","0","0.769230769","0","0","0","0","77.77777778","0","0","100","0","0","0","0","0","0","0","1","1","0","386","7650","2074","0","0","6","safe"
"35","14","0","2","2","0","0","0","0","0","0","0","0","3","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","2","0","1","0","0","2","0","5","4","2","3","2","6","6","5","4","4.5","3.666666667","0","0","0","0","0","0","437","0.901601831","0.098398169","0","0","0","0.279069767","0","0.023255814","0","0","33.33333333","0","85.88235294","14.11764706","0","0","0","47.5","0","0","0","0","1","0","349","7686","21772","0","0","5","safe"
"32","21","0","2","1","0","0","0","0","0","0","0","0","4","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","2","1","0","0","0","0","0","4","3","2","3","2","7","7","2","4.5","5.333333333","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","286","-1","0","1","1","0","unsafe"
"25","10","0","1","0","0","0","0","0","0","0","0","0","3","0","1","0","0","0","0","0","0","0","0","0","0.04","0","0","0","0","0","0","1","0","0","0","0","1","0","2","0","6","7","6","7","7","6","6.5","7","6","0","0","0","0","0","0","4","0","1","0","0","0","0","0","0","0","1","0","0","0","100","0","0","0","0","0","0","0","1","0","0","0","2139","309382","0","1","7","unsafe"
"50","16","0","2","0","0","0","0","0","0","1","0","0","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","5","1","2","2","4","13","9","13","6.8","5.5","7.666666667","0","1","0","0","0","0","570","0.98245614","0.01754386","0","0","0","0.3","0","0","0","0","100","0","100","0","0","0","0","72.22222222","0","0","0","0","1","0","902","7133","12","0","0","7","safe"
"33","24","0","2","0","0","0","0","0","0","0","0","0","3","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2","3","3","3","0","16","16","0","9.5","9.5","0","0","0","0","0","0","0","57","0.50877193","0.49122807","0","3","0","0.285714286","0","0.071428571","1","1","65.2173913","0","0","100","0","0","0","0","0","0","0","1","1","0","353","1107","7096725","0","0","3","safe"
"83","16","1","1","4","0","0","0","0","0","0","0","0","6","0","1","0","0","0","0","0","0","0","0","1","0.409638554","0","0","0","0","0","0","1","0","0","0","0","0","0","8","2","1","12","1","19","12","19","8","12","7.428571429","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","274","-1","0","0","1","2","unsafe"
"23","15","0","2","1","0","0","0","0","0","0","0","0","3","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","2","1","0","0","0","1","0","3","3","2","2","0","5","5","0","3.333333333","3.333333333","0","0","0","0","0","0","0","6","0.833333333","0.166666667","0","0","0","1","0","0","0","0","100","0","100","0","0","0","0","50","0","0","0","0","0","0","0","-1","1512801","0","0","3","safe"
"73","16","0","2","4","0","0","0","0","0","0","0","0","8","0","1","0","0","0","0","1","0","0","0","0","0.109589041","0","0","0","0","0","0","2","0","0","0","0","0","0","11","5","2","3","2","8","8","7","4.545454545","5.5","4.333333333","0","0","0","0","0","0","250","0.556","0.444","0","1","0","0.18018018","0","0.072072072","0","1","4.545454545","0","0","100","0","0","0","96","0","0","0","1","1","0","504","6071","4242","0","0","4","safe"
"18","11","0","1","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","8","8","0","8","8","0","8","8","0","0","0","0","0","0","2","11","0.545454545","0.454545455","0","1","0","0","0","0","0","1","25","0","100","0","0","0","0","0","0","0","0","0","0","0","211","1614","60762","0","1","1","unsafe"
"34","25","0","2","0","0","0","0","0","0","0","0","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2","3","9","9","0","11","11","0","10","10","0","0","1","0","0","0","0","116","0.560344828","0.439655172","0","11","0","0","0","0","0","1","61.53846154","0","0","100","0","0","0","100","0","0","0","1","0","0","587","7447","0","0","0","8","safe"
"40","12","0","1","1","0","0","0","0","0","0","0","0","5","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","1","0","5","0","2","9","2","9","9","5","5","9","4","2","0","0","0","0","0","5","0.4","0.6","0","0","0","0","0","0.666666667","0","1","50","0","0","0","0","0","0","0","0","0","0","1","0","0","0","5661","0","0","1","1","unsafe"
"29","15","0","1","0","0","0","0","0","0","0","0","0","3","0","1","0","0","0","0","0","0","0","0","1","0.068965517","0","0","0","0","0","0","1","0","0","0","0","1","0","2","1","6","12","6","12","12","6","9","12","6","0","0","0","0","0","0","23","1","0","0","0","0","0","0","0","0","0","100","0","100","0","0","0","0","100","0","0","0","1","0","0","298","-1","0","0","1","0","unsafe"
"119","42","1","4","0","0","1","2","0","3","2","0","0","5","0","1","0","0","0","0","0","1","0","0","1","0.218487395","0","0","0","0","1","0","3","0","0","0","0","1","0","12","3","2","3","2","17","13","17","7.833333333","8.75","7.375","0","0","0","0","0","0","4","1","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","100","0","0","0","1","0","0","14","4003","5816617","0","1","0","unsafe"
"82","16","0","2","0","0","1","0","0","1","1","0","0","6","0","1","0","0","0","0","0","0","0","0","0","0.109756098","0","0","0","0","0","0","2","0","0","0","0","0","0","9","2","1","5","1","25","6","25","6.888888889","5.5","7.285714286","1","1","0","0","0","0","10","0","1","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2974","8348","1","0","1","10","unsafe"
"47","39","0","2","2","0","0","0","0","0","0","0","0","3","0","1","0","0","0","0","0","0","0","0","1","0.085106383","0.102564103","0","0","0","0","0","2","0","0","0","0","1","0","4","0","6","6","0","11","11","0","8","8","0","0","0","0","0","0","0","23","1","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","100","0","0","0","1","0","0","276","819","0","0","1","2","unsafe"
"27","19","0","2","1","0","0","0","0","0","0","0","0","3","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","2","1","0","0","0","1","0","3","3","3","3","0","5","5","0","4.333333333","4.333333333","0","0","0","0","0","0","0","144","0.930555556","0.069444444","0","1","0","0","0","0","0","1","84.61538462","0","100","0","0","0","0","57.14285714","0","0","0","0","1","0","1019","4824","4640560","0","0","3","safe"
"44","14","1","3","0","0","0","0","0","0","0","0","0","5","0","1","0","0","0","0","0","0","0","0","1","0.159090909","0","0","0","0","0","0","3","0","0","0","0","2","0","6","1","2","2","3","8","8","7","4.833333333","5","4.75","0","0","0","0","0","0","67","0.940298507","0.059701493","0","0","0","1","0","0","0","1","86.66666667","0","50","50","0","0","0","100","0","0","0","1","1","0","149","7157","2294","0","1","3","safe"
"49","30","0","3","0","0","0","0","0","0","0","0","0","3","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","0","0","0","0","0","0","4","1","4","11","4","14","14","6","8.75","12.5","5","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","1","1","0","0","952","7083","17964","0","1","3","unsafe"
"67","21","0","2","0","0","0","0","0","0","0","0","0","4","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","2","0","0","0","0","1","0","4","5","3","3","12","25","13","25","13.25","8","18.5","0","0","0","0","0","0","185","0.632432432","0.367567568","0","2","0","0.014705882","0","0.014705882","0","1","72.22222222","0","100","0","0","0","0","13.23529412","0","0","0","1","1","0","1865","6900","11507","0","1","5","safe"
"28","10","1","4","0","0","0","0","0","0","0","0","0","3","0","1","0","0","0","0","0","0","0","0","1","0.25","0.7","0","0","1","1","1","3","0","0","0","0","0","0","10","0","1","1","1","6","2","6","2.3","1.75","2.666666667","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","-1","0","1","1","0","unsafe"
"49","13","0","1","2","0","0","0","0","0","0","0","0","6","0","1","0","0","0","0","0","0","0","0","0","0.040816327","0","0","0","0","0","0","1","0","0","0","0","0","0","7","0","1","9","1","9","9","8","4.428571429","9","3.666666667","0","0","0","0","0","0","135","0.866666667","0.133333333","0","2","0","0.5","0","0","0","1","66.66666667","0","66.66666667","33.33333333","0","0","0","40","0","0","0","1","0","0","233","2688","7989","0","0","5","safe"
"29","21","0","2","1","0","0","0","0","0","0","0","0","3","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","1","0","0","0","0","0","3","0","2","2","0","10","10","0","5","5","0","0","0","0","0","0","0","5","0","1","0","1","0","0","0","0.8","1","1","0","0","0","100","0","0","0","0","0","0","0","1","1","0","291","4823","0","0","1","2","unsafe"
"159","19","0","3","2","0","1","1","0","2","2","0","0","13","0","1","0","1","0","0","0","0","0","0","1","0.031446541","0","0","0","0","0","0","3","1","0","0","0","0","0","21","4","1","15","1","15","15","11","6.047619048","15","5.6","6","0","0","0","0","0","120","0.033333333","0.966666667","0","13","0","0","0","0.043103448","0","1","1.960784314","0","0","100","0","0","0","7.142857143","0","0","0","1","0","0","239","1588","0","0","1","0","unsafe"
"21","12","0","1","0","0","0","0","0","0","0","0","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","8","8","0","8","8","0","8","8","0","0","0","0","0","0","0","149","0.067114094","0.932885906","0","1","0","0","0","0","0","1","55.55555556","0","0","100","0","0","0","66.66666667","0","0","0","1","1","0","265","1561","133791","0","0","1","unsafe"
"197","14","1","2","0","0","1","2","0","3","1","0","0","5","0","1","0","0","0","0","0","0","0","0","1","0.406091371","0","0","0","0","0","0","2","0","0","1","0","0","0","12","11","2","10","2","64","10","64","14.58333333","10","15","2","0","0","0","0","0","22","0.818181818","0.181818182","0","0","0","0","0","0","0","1","0","0","100","0","0","0","0","100","0","0","0","1","0","0","347","1479","0","0","1","1","unsafe"
"126","50","1","4","1","0","1","2","0","3","2","0","0","4","0","1","0","0","0","0","0","1","0","0","1","0.158730159","0","0","0","0","1","0","3","1","0","0","0","1","0","13","2","2","3","2","17","13","17","7.769230769","8.4","7.375","0","0","0","0","0","0","4","1","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","100","0","0","0","1","0","0","15","4003","5816617","0","1","0","unsafe"
"25","16","0","2","0","0","0","0","0","0","0","0","0","3","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2","3","3","3","0","8","8","0","5.5","5.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","1","0","999","1556","282959","0","0","3","safe"
"89","14","0","2","8","0","0","0","0","0","0","0","0","7","0","1","0","0","0","0","1","0","0","0","0","0.08988764","0","0","0","0","0","0","2","0","0","0","0","0","0","14","5","2","3","2","9","6","9","4.5","4.5","4.5","1","0","0","0","0","0","53","0.41509434","0.58490566","0","0","0","0.35483871","0","0.064516129","0","0","0","0","0","100","0","0","0","47.91666667","0","0","0","0","1","0","1165","5408","9410","0","0","6","safe"
"76","32","0","3","7","0","0","0","0","0","0","0","0","3","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","3","0","0","0","0","1","0","11","4","3","3","4","8","8","7","5","4.8","5.166666667","0","0","0","0","0","0","123","0.853658537","0.146341463","0","0","0","0.555555556","0","0","1","0","92","0","0","100","0","0","0","41.17647059","0","0","0","1","0","0","109","4274","272349","0","0","4","safe"
"29","20","0","2","0","0","0","0","0","0","0","0","0","3","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2","3","3","3","0","13","13","0","8","8","0","0","0","0","0","0","0","46","0.934782609","0.065217391","0","0","0","0.666666667","0","0","0","1","90","0","100","0","0","0","0","50","0","0","0","1","0","0","179","6031","1327039","0","0","3","safe"
"68","37","0","5","3","0","0","0","0","0","0","0","0","4","0","1","0","0","0","0","0","0","0","0","0","0.088235294","0.162162162","0","0","0","0","0","3","0","0","1","0","0","0","10","1","1","1","2","7","7","7","4.7","4.666666667","4.75","2","0","0","0","0","0","21","0.19047619","0.80952381","0","1","0","0.176470588","0","0","0","1","0","0","20","80","0","0","0","25","0","0","0","1","1","0","228","5616","0","0","1","5","unsafe"
"40","23","0","3","1","0","0","0","0","0","0","0","0","3","0","1","0","0","0","0","0","0","0","0","1","0.075","0.130434783","0","0","0","0","0","3","1","0","0","0","0","0","5","1","3","4","3","8","8","5","5","5.666666667","4","1","0","0","0","0","0","13","0.846153846","0.153846154","0","0","0","0","0","0","0","0","60","0","100","0","0","0","0","0","0","0","0","1","1","0","289","75","0","0","1","0","unsafe"
"54","21","0","3","1","0","0","0","0","0","0","0","0","4","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","3","1","0","1","0","0","0","6","4","3","3","4","13","13","7","6.166666667","8","5.25","0","0","0","0","0","0","105","0.914285714","0.085714286","0","0","0","0.222222222","0","0.111111111","0","0","92.85714286","0","100","0","0","0","0","36.36363636","0","0","0","1","1","0","246","8885","5703","0","1","5","safe"
"37","28","0","2","0","0","0","0","0","0","0","0","0","3","0","1","0","0","0","0","0","0","0","0","0","0.108108108","0.142857143","0","0","0","0","0","2","0","0","1","0","0","0","2","0","8","8","0","15","15","0","11.5","11.5","0","0","1","0","0","0","0","15","0","1","0","3","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","374","7295","0","0","1","5","unsafe"
"28","19","0","2","0","0","0","0","0","0","0","0","0","3","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2","3","3","3","0","11","11","0","7","7","0","0","0","0","0","0","0","11","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","110","2081","75385","0","0","2","safe"
"44","17","0","2","0","0","1","0","0","1","0","0","0","3","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","4","2","3","3","8","9","8","9","7","5.5","8.5","0","0","0","0","1","0","8","0.125","0.875","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2429","1953","4365","0","1","3","unsafe"
"128","50","1","4","1","0","1","2","0","3","2","0","0","5","0","1","0","0","0","0","0","1","0","0","0","0.1171875","0","0","0","0","1","0","3","1","0","0","0","0","0","13","4","2","3","2","17","13","17","7.769230769","8.4","7.375","0","0","0","0","0","0","51","1","0","0","0","0","0","0","0","0","0","100","0","100","0","0","0","0","100","0","0","0","1","1","0","25","3993","5707171","0","1","0","unsafe"
"36","16","0","2","0","0","0","0","0","0","0","0","0","3","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","3","4","3","3","11","11","8","11","7.333333333","5.5","11","0","1","0","0","0","0","71","0.436619718","0.563380282","0","5","0","0","0","0","0","1","5.555555556","0","0","0","0","0","0","75","0","0","0","0","0","0","2807","8517","8","0","0","10","safe"
"35","14","0","2","0","0","0","0","0","0","1","0","0","3","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0","0","0","1","0","4","1","4","4","4","8","5","8","5.25","4.5","6","0","0","0","0","0","0","68","0.941176471","0.058823529","0","0","0","0.5","0","0","0","0","100","0","100","0","0","0","0","78.94736842","0","0","0","0","0","0","30","7275","265564","0","0","4","safe"
"47","39","0","3","2","0","0","0","0","0","0","0","0","3","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","0","0","0","0","0","0","5","1","2","2","0","11","11","0","6.2","6.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","316","49","0","0","1","0","unsafe"
